Id,Character,MeanLong,JlptLevel,Meaning,StrokeCount,Freq,AllRebs
32077,亙,"Dài suốt,khoảng dài từ đầu này đến cuối kia gọi là cắng . Như cắng cổ [亙古] suốt từ xưa đến nay.,CẮNG",N1,,6,2543,カン コウ | もとめる わたる
32078,亘,Phô bầy.##Một âm là hoàn. Cũng như chữ hoàn [桓] . Như Ô Hoàn [烏亘] nước Ô Hoàn.,N1,"TUYÊN, HOÀN",6,1728,カン コウ | もとめる わたる
32079,丐,"Xin. Như khất cái [乞丐] người ăn mày,ăn xin.##Cho. Như triêm cái hậu nhân [沾丐後人] để ơn lại cho người sau.,CÁI",N1,,4,2544,カイ | こう
32080,丕,"Lớn lao. Như phi cơ [丕基] nghiệp lớn.,PHI",N1,,5,2545,ヒ | おおきい
32081,个,"Cái,từng cái một gọi là cá,cùng một nghĩa với chữ cá [箇].##Cái nhà xép,hai bên tả hữu nhà Minh Đường ngày xưa gọi là tả hữu cá [左右个].##Giản thể của chữ [個].,CÁ",N1,,3,2546,カ コ
32082,丱,"Tết tóc làm hai múi hai bên.,QUÁN",N1,,5,2547,カン ケン
32083,丶,"Phàm cái gì cần có phân biệt,sự gì cần biết nên chăng,lòng đã có định,thì đánh dấu chữ chủ để nhớ lấy.,CHỦ",N1,,1,2548,チュ
32084,丼,"bowl,bowl of food,",N1,,5,2088,ショウ セイ タン トン | どんぶり
32085,丿,"Ta gọi là cái phẩy,là một nét phẩy của chữ.,PHIỆT, TRIỆT",N1,,1,2549,ヘツ | えい よう
32086,乂,"Trị,cai trị được dân yên gọi là nghệ.##Tài giỏi. Như tuấn nghệ tại quan [俊乂在官] người hiền tài làm quan.,NGHỆ",N1,,2,2550,カイ ガイ ゲ | おさめる かる
32087,乖,"Trái,ngược,không hòa với nhau gọi là quai [乖]. Như quai lệ [乖戾] ngang trái. Nguyễn Trãi [阮廌] : Giản quý lâm tàm túc nguyện quai [澗愧林慚夙願乖] (Đề Đông Sơn tự [題東山寺]) Hổ thẹn với suối rừng vi đã trái lời nguyền cũ.##Láu lỉnh. Như quai sảo [乖巧] khéo léo,quai giác [乖覺] sáng bợm,v.v.,QUAI",N1,,8,2551,カイ | そむく もとる
32088,乘,"Cưỡi,đóng. Như đóng xe vào ngựa gọi là thừa mã [乘馬].##Nói rộng ra thì phàm cái gì nó ở dưới nó chở mình,đều gọi là thừa. Như thừa chu [乘舟] đi thuyền,thừa phù [乘稃] đi bè,v.v.##Nhân vì. Như thừa hứng nhi lai [乘興而來] nhân hứng mà lại.##Tính nhân. Như 3 nhân 3 là 9,gọi là thừa.##Bực. Phật học chia bực cao bực thấp. Như tiểu thừa [小乘] bực tu chỉ tự độ được mình,cũng như cỗ xe nhỏ chỉ chở được mình,đại thừa [大乘] bực tu đã tự độ mình lại độ cho người. Như cỗ xe lớn chở được nhiều người,v.v. Nhà Đường [唐] bàn thơ,người nào ý tứ cao kỳ,gọi là thượng thừa [上乘] cũng bắt chước nghĩa ấy.##Một âm là thặng. Cỗ xe,xe bốn ngựa kéo gọi là một thặng. Đời xưa đánh nhau bằng xe,tính thuế ruộng ra lính,cho nên tính số thuế ruộng cũng gọi là thặng. Như thiên thặng chi quốc [千乘之國] nước có số nghìn cỗ xe,bách thặng chi gia [百乘之家] nhà có trăm cỗ xe.##Bốn. Như sách Mạnh Tử [孟子] nói phát thặng thỉ nhi hậu phản [發乘失而後反] bắn bốn tên rồi sau trở lại.##Sách vở,những sách ghi chép mọi việc gọi là thặng. Như Tấn chi thặng [晉之乘] sách chép việc nước Tấn,gia phả cũng gọi là gia thặng [家乘],v.v.,THỪA, THẶNG",N1,,10,2552,ジョウ | のせる のる
32089,亂,"Loạn,bối rối không yên gọi là loạn. Như loạn thế [亂世].##Giặc giã,quân lính đánh giết bừa bãi gọi là loạn.##Rối rít. Như loạn ti [亂絲] tơ rối.##Tối tăm. Như tinh thần mậu loạn [精神瞀亂] tinh thần tối tăm mê mẩn.##Phá hoại. Như hoại pháp loạn kỷ [壞法亂紀] phá hoại phép luật.##Dâm tà. Như trong họ chim chuột lẫn nhau gọi là loạn dâm [亂婬].##Trị yên. Như Võ-vương hữu loạn thần thập nhân [武王有亂臣十人] vua Võ-vương có mười người bầy tôi trị loạn.##Chữ dùng cho dứt câu ca nhạc. Như quan thư chi loạn [關雎之亂] cuối thơ quan thư.##Tục thường viết là [乱].,LOẠN",N1,,13,2553,ラン ロン | おさめる みだす みだる みだれ みだれる わたる
32090,亅,"Tức là cái nét xổ có móc.,QUYẾT",N1,,1,2554,ケツ | かぎ
32091,亊,"affair,matter,business,to serve,accident,incident,",N1,,7,2555,シ ジ ズ | こと つかう つかえる
32092,于,"Đi. Như vu quy [于歸] con gái đi lấy chồng.##Đi lấy. Như trú nhĩ vu mao [晝爾于茅] sớm đi lấy cỏ tranh.##Chưng,dùng làm lời trợ ngữ. Như chí vu kỳ hạ [至于岐下] đến chưng dưới núi Kỳ.##So. Như vu Thang hữu quang [于湯有光] so với vua Thang có ý sáng sủa hơn.##Nhởn nhơ,lờ mờ. Như kỳ giác dã vu vu [其覺也于于] thửa biết vậy lờ mờ.##Một âm là hu. Tiếng tán thán. Như hu ta lân hề [于嗟麟兮] chao ơi con lân kia !##Giản thể của chữ [於].,VU, HU, Ư, Ô",N1,,3,2556,ウ ク | ああ おいて ここに に より を
32093,亞,"Thứ hai. Như á thánh [亞聖] kém thánh một ít.##Tên một châu trong năm châu,châu Á-tế-á [亞細亞].,Á",N1,,8,2557,ア | つぐ
32094,亟,"Kíp. Như nhu dụng thậm cức [需用甚亟] cần dùng rất kíp.##Một âm là khí. Luôn luôn. Như khí vấn khí quỹ đỉnh nhục [亟問亟饋鼎肉] hỏi luôn đưa thịt ăn luôn.,CỨC, KHÍ",N1,,8,2558,キ キョク ケ | しばしば すみやか
32095,亠,"Không có ý nghĩa gì.,ĐẦU",N1,,2,2559,トウ
32096,亢,"Cao. Như bất kháng bất ti [不亢不卑] không kiêu ngạo không siểm nịnh.##Quá. Như kháng dương [亢陽] chân dương thái quá,kháng hạn [亢旱] nắng quá.##Che chở. Như kháng tông chi tử [亢宗之子] đứa con có thể làm phên che chở cho họ được.##Một âm là cang. Cổ. Như ách kỳ cang [搤其亢] bóp thửa cổ.##Sao Cang,một vì sao trong Nhị thập bát tú,cũng đọc là chữ cương.,KHÁNG, CANG, CƯƠNG",N1,,4,2560,コウ | たかぶる
32097,亰,"capital city,",N1,,9,2561,キョウ キン ケイ | みやこ
32098,亳,"Đất Bạc,chỗ kinh đô vua Thang,ở tỉnh Hà Nam bên Tầu bây giờ.,BẠC",N1,,10,2562,ハク
32099,亶,"Tin. Nhời trợ ngữ.,ĐẢN",N1,,13,2563,セン タン | あつい ほしいまま
32100,从,"Cùng nghĩa như chữ tòng [從] theo.##Giản thể của chữ [從].,TÒNG, TỤNG, THUNG, TÚNG, TUNG, TÙNG",N1,,4,2564,ジュ ジュウ ショウ | したがう したがえる より
32101,仍,"Nhân,vẫn. Như nhưng cựu [仍舊] như cũ.##Luôn luôn. Như cơ cận nhưng trăn [飢饉仍臻] kém đói luôn mãi.,NHƯNG",N1,,4,2565,ジョウ ニョウ | しきりに なお よって よる
32102,仄,"Nghiêng. Như phản trắc [反仄] nghiêng ngửa,tráo trở.##Tiếng trắc [仄],đối lại với tiếng bình [平] bằng.,TRẮC",N1,,4,2566,ソク | かたむく ほの- ほのか ほのめかす ほのめく
32103,仆,"Ngã. Như phó địa [仆地] ngã lăn xuống đất. Vương An Thạch [王安石] : Cự động bách dư bộ,hữu bi phó đạo [距洞百餘步,有碑仆道] (Du Bao Thiền Sơn kí [遊褒禪山記]) Cách động trên trăm bước có tấm bia đổ bên vệ đường.##Giản thể của chữ [僕].,PHÓ, BỘC",N1,,4,2567,フ | たおれる
32104,仂,"surplus or excess,remainder,",N1,,4,2568,ドウ リキ リュク リョク ロク | はたらく
32105,仗,"Các thứ đồ binh khí. Hai bên đánh nhau gọi là khai trượng [開仗]. Quan sang ra ngoài có lính cầm đồ binh hộ vệ gọi là nghi trượng [儀仗].##Nhờ cậy,ỷ lại vào. Nhờ vả thế lực của người gọi là ỷ trượng [倚仗]. Nguyễn Du [阮攸] : Nhất lộ hàn uy trượng tửu ôn [一路寒威仗酒溫] (Quỷ Môn đạo trung [鬼門道中]) Suốt con đường giá lạnh,nhờ rượu được ấm.,TRƯỢNG",N1,,5,2569,ジョウ チョウ | つえ つわもの まわり よる
32106,仞,"Nhận,nhà Chu [周] định tám thước là một nhận (chừng sáu thước bốn tấc tám phân bây giờ).,NHẬN",N1,,5,2570,ジン | はかる
32107,仭,"Một sải (1.82m).##fathom,NHẬN",N1,,5,2571,ジン | はかる
32108,仟,"Người đứng đầu một nghìn người.##Bây giờ thường dùng như chữ thiên [千] ngàn,gọi là chữ thiên kép.,THIÊN",N1,,5,2572,セン | かしら ち
32109,价,"Thiện,lớn.##Cùng nghĩa với chữ giới [介].##Giản thể của chữ [價].,GIỚI, GIÁ",N1,,6,2573,カイ
32110,伉,"Kháng lệ [伉儷] sánh đôi,vợ chồng lấy nhau gọi là kháng lệ.,KHÁNG",N1,,6,2574,コウ | たぐい ならぶ
32111,佚,"Rồi. Như an dật [安佚] yên rồi.##Trốn,ẩn. Như ẩn dật [隱佚] người trốn đời không cho đời biết,di dật nhi bất oán [遺佚而不怨] bỏ sót mình ở ẩn mà không oán.,DẬT",N1,,7,2575,イツ テツ | たのしむ のがれる
32112,估,"Đánh giá. Như cổ giá [估價] đánh giá xem vật ấy đáng giá bao nhiêu.,CỔ",N1,,7,2576,コ | あきなう あたい
32113,佛,"Dịch âm tiếng Phạn ""buddha"",nói đủ phải nói là Phật đà [佛陀],bậc tu đã tới cõi giác ngộ hoàn toàn,lại giáo hóa cho người được hoàn toàn giác ngộ. Như đức Thích ca [釋迦] bỏ hết công danh phú quý,lìa cả gia đình,tu hành khắc khổ,phát minh ra hết chỗ mê lầm của chúng sinh,để tế độ cho chúng sinh,thế là Phật. Vì thế nên những phương pháp ngài nói ra gọi là Phật pháp [佛法],giáo lý của ngài gọi là Phật giáo [佛敎],người tin theo giáo lý của ngài gọi là tín đồ Phật giáo,v.v.##Phật lang [佛郎] dịch âm chữ franc,quan tiền Tây.,PHẬT",N1,,7,2577,フツ ブツ | ほとけ
32114,佝,"lưng gù; bệnh còi xương.##foolish,stopped over,CÂU",N1,,7,2578,ク コウ | せむし
32115,佗,"Uy đà [倭佗] ung dung,tả cái dáng ung dung tự đắc. Một âm là tha.##Khác. Như quân tử chính nhi bất tha [君子正而不佗] người quân tử chính mà không đổi khác,cùng nghĩa như chữ tha [也].,ĐÀ, THA",N1,,7,2579,イ タ | ほか わびる わび わびしい
32116,佇,"Đứng lâu. Tô Mạn Thù [蘇曼殊] : Nhị nhân trữ lập vô ngữ,đãn văn phong thanh tiêu sắt [二人佇立無語,但聞風聲蕭瑟] (Đoạn hồng linh nhạn kí [斷鴻零雁記]) Hai người đứng im lìm một chặp,chỉ nghe tiếng gió thổi hiu hắt.,TRỮ",N1,,7,2580,チョ | たたずむ
32117,佶,"Tráng kiện.,CÁT",N1,,8,2581,キチ キツ
32118,侈,"Phí. Như xa xỉ [奢侈] xa phí.,XỈ",N1,,8,2582,シ | おごる
32119,侏,"Chu nho [侏儒] dáng mặt tủn mủn.,CHU",N1,,8,2583,シュ
32120,侘,"Sá sế [侘傺] bờ phờ,tả dáng người thất chí.,SÁ",N1,,8,2584,タ | ほこる わびる わびしい
32121,佻,"Thó lấy,bạc. Như khinh điêu [輕佻] khinh bạc,cũng đọc là chữ điệu .##Điêu xảo [佻巧] khéo léo,khinh bạc để thủ lợi. Khuất Nguyên [屈原] : Hùng Cưu chi minh thệ hề,dư do ố kì điêu xảo [雄鳩之鳴逝兮,余猶惡其佻巧 (Ly tao [離騷]) Con chim Tu Hú nhiều lời hề,ta ghét nó điêu ngoa.  Một âm là diêu,làm chậm trễ lại.,ĐIÊU, ĐIỆU, DIÊU",N1,,8,2585,ジョウ チョウ ヨウ | かるい
32122,佩,"Đeo,đeo vàng ngọc làm đồ trang sức là bội. Như bội ngọc [佩玉] đeo ngọc,bội đao [佩刀] đeo dao,v.v.##Nhớ mãi. Như bội phục [佩服] phục mãi,phục mãi như đeo vào mình không bao giờ quên. Nguyễn Du [阮攸] : Bình sinh bội phục vị thường ly [平生佩服未常離] (Lỗi Dương Đỗ Thiếu Lăng mộ [耒陽杜少陵墓]) Bình sinh bái phục không lúc nào ngớt.,BỘI",N1,,8,2586,ハイ | おびる おびだま はく
32123,佰,"Cũng như chữ [百],tục gọi là chữ bách kép.,BÁCH",N1,,8,2587,ハク ヒャク | おさ
32124,侑,Giúp. Như hựu thực [侑食] khéo mời cho ăn được nhiều thêm. Nguyễn Du [阮攸] : Vị tín quỉ thần năng tướng hựu [未信鬼神能相侑] (Vãn há Đại Than [晚下大灘]) Chưa tin quỉ thần có thể giúp được gì.,N1,HỰU,8,2588,ウ ユウ | すすめる たすける
32125,佯,"Giả vờ. Như dương cuồng [佯狂] giả cách rồ. Tô Thức [蘇軾] : Dương cuồng cấu ô,bất khả đắc nhi kiến [佯狂垢污,不可得而見] (Phương Sơn Tử truyện [方山子傳]) Giả cuồng bôi nhọ,không cho ai thấy.,DƯƠNG",N1,,8,2589,ヨウ | いつわる
32126,來,"Lại.##Về sau. Như tương lai [將來] về sau này.##Một âm là lãi. Yên ủi,vỗ về yên ủi kẻ đến với mình.,LAI, LÃI",N1,,8,2590,タイ ライ | きたす きたる きたす きたる くる
32127,侖,"Côn lôn [昆侖] tên núi Côn lôn. Có khi viết là [昆崙].,LÔN",N1,,8,2591,リン ロン | おもう
32128,儘,"Hết tiệt.##Hết cữ. Như tẫn số [儘數] hết số,tẫn trước [儘著] tính hết nước. Nguyễn Du [阮攸] : Tẫn hữu du vi ưu tướng tướng [儘有猷爲優將相] (Bùi Tấn Công mộ [裴晉公墓]) Có thừa mưu lược làm tướng văn tướng võ.,TẪN",N1,,16,2592,ジン | ことごとく まま
32129,俔,"So sánh; dò xét,KIẾN",N1,,9,2593,ケン | うかがう たとえる
32130,俟,"Đợi,có khi viết là [竢].,SĨ",N1,,9,2594,シ | まつ
32131,俎,"Cái thớt.##Cái mâm dùng để các muông sinh dâng lên lễ. Tục quen viết là [爼].,TRỞ",N1,,9,2595,ショ ソ | いた まないた
32132,俘,"Bắt được,đánh bắt được quân giặc gọi là phu.,PHU",N1,,9,2596,フ | とりこ
32133,俛,"Cúi,cùng nghĩa với chữ phủ [俯]. Tô Thức [蘇軾] : Phủ nhi bất đáp [俛而不答] (Hậu Xích Bích phú [後赤壁賦]) Cúi đầu mà không trả lời.##Một âm là miễn. Gắng,cùng nghĩa với chữ miễn [勉].,PHỦ, MIỄN",N1,,9,2597,フ ベン メン | ふせる
32134,俑,"Tượng gỗ.##Người nào xướng lên thói ác trước nhất gọi là tác dũng [作俑].,DŨNG",N1,,9,2598,トウ ユウ ヨウ
32135,俚,"Nhờ. Như vô lí [無俚] cũng như nói vô liêu [無聊] không nhờ cái gì cho khuây khỏa được.##Quê kệch. Như lí ca [俚歌] câu hát quê kệch của người nhà quê hát.,LÍ",N1,,9,2599,リ | いやしい
32136,俐,"Nhanh nhẹn sáng suốt. Như linh lị [伶俐] lanh lợi.,LỊ",N1,,9,2600,リ | かしこい
32137,俤,"(kokuji),(ĐỆ)",N1,,9,2601,おもかげ
32138,俥,"xe kéo tay.##jinricksha,rickshaw,(kokuji),XA",N1,,9,2602,くるま
32139,倚,"Nhân. Như họa hề phúc sở ỷ [禍兮福所倚] vạ kia là cái nhân sinh ra phúc.##Dựa,ngồi nằm dựa vào cái gì,hay để cái gì ghé vào cái gì,đều gọi là ỷ. Như trác ỷ [卓倚] cái đẳng dựa,ỷ kỉ [倚几] ghế dựa.##Cậy. Như ỷ thế lăng nhân [倚勢陵人] cậy thế lấn người.,Ỷ",N1,,10,2603,イ キ | たのむ よる
32140,倨,"Ngông láo,ngạo mạn,vô lễ. Như cứ ngạo [倨傲] hỗn láo,xấc xược.,CỨ",N1,,10,2604,キョ コ | おごる
32141,倔,"Quật cường [倔彊] cứng cỏi ương ngạnh.,QUẬT",N1,,10,2605,クツ | つよい
32142,倪,"Bé nhỏ,trẻ con gọi là nghê.##Chia cõi. Như đoan nghê [端倪] mối khóe (nói chỗ chia rõ đầu mối mánh khóe của một sự gì).,NGHÊ",N1,,10,2606,ガイ ゲイ | きわ
32143,倥,"Không đồng [倥侗] vội vàng sấp ngửa.,KHÔNG",N1,,10,2607,コウ | ぬかる
32144,倅,"Chức phó,chức phó giúp việc quan chính gọi là thừa thối [承倅].##Một âm là tốt. Phép nhà Chu trăm người lính gọi là tốt.,THỐI, TỐT",N1,,10,2608,サイ ソチ ソツ | せがれ
32145,伜,"son,my son,THỐI, TỐT",N1,,6,2609,サイ ソチ ソツ | せがれ
32146,俶,"Mới,trước từ.##Chỉnh tề. Như thục trang [俶装] sắm sửa hành trang chỉnh tề.##Một âm là thích. Cũng nghĩa như chữ thích [倜],thích thảng [俶儻] lỗi lạc.,THỤC, THÍCH",N1,,10,2610,シュク テキ | はじめ よい
32147,倡,"Hát,làm thơ làm ca,ai làm trước gọi là xướng [倡] kẻ nối vần sau gọi là họa [和],vì thế nên ai làm gì trước nhất đều gọi là đề xướng [提倡].##Một âm là xương. Xương ưu [倡優] con hát.##Xương cuồng [倡狂] rồ dại (sằng bậy); có khi viết là [猖].,XƯỚNG, XƯƠNG",N1,,10,2611,ショウ | となえる わざおぎ
32148,倩,"Xinh đẹp,bên khoé miệng đẹp có duyên. Thi Kinh [詩經] : Xảo tiếu thiến hề,Mĩ mục phán hề [巧笑倩兮,美目盼兮] (Vệ phong [衛風]) Nàng cười rất khéo,trông rất đẹp ở bên khoé miệng có duyên,Mắt của nàng đẹp đẽ,tròng đen,tròng trắng phân biệt long lanh.##Rể. Như muội thiến [妹倩] em rể,điệt thiến [姪倩] cháu rể.##Một âm là sai. Mượn thay. Như sai đại [倩代] nhờ người đó thay hộ.,THIẾN, SAI",N1,,10,2612,セイ セン | うつくしい つらつら
32149,倬,"Rõ rệt,lớn lao.,TRÁC",N1,,10,2613,タク
32150,俾,"Khiến. Như tỉ nhĩ xí nhi xương [俾爾熾而昌] khiến cho mày tốt mà thịnh.##Theo. Như võng bất xuất tỉ [罔不出俾] không ai không noi theo.,TỈ",N1,,10,2614,ヒ フ ヘイ | かしずく しむ
32151,俯,"Cúi. Như ngưỡng quan phủ sát [仰觀俯察] ngửa xem cúi xét.##Nhời kẻ dưới đối với người trên cũng gọi là phủ. Như phủ sát [俯察] rủ lòng xét xuống,phủ duẫn [俯允] rủ lòng ưng cho,v.v.,PHỦ",N1,,10,2615,フ | うつむく ふす ふせる
32152,們,"Bọn. Như ngã môn [我們] bọn ta.,MÔN",N1,,10,2616,モン | ともがら
32153,倆,"Kỹ lưỡng [伎倆] tài khéo. Như kỹ lưỡng dĩ cùng [伎倆已窮] không còn tài khéo gì nữa.,LƯỠNG",N1,,10,2617,リョウ | たくみ
32154,偃,"Nép,xếp. Như yển kì [偃旗],nép cờ xuống.##Nằm. Nguyễn Trãi [阮廌] : Nham trung hữu tùng,Vạn lý thúy đồng đồng,Ngô ư thị hồ yển tức kỳ trung [岩中有松,萬里翠童童,吾於是乎偃息其中] (Côn sơn ca [崑山歌]) Trong núi có thông,Muôn dặm xanh biếc um tùm,Ta nằm nghỉ ngơi ở trong đó.##Nghỉ. Như yển vũ tu văn [偃武修文] nghỉ việc võ sửa việc văn.##Yển kiển [偃蹇] kiêu ngạo.##Cũng có nghĩa là bị bẹp.,YỂN",N1,,11,2618,エン | ふせる
32155,假,"Giả,không phải thật. Như giả mạo [假冒],giả thác [假託],v.v.##Ví. Như giả sử [假使] ví khiến.##Mượn,lợi dụng. Như cửu giả bất quy [久假不歸] mượn lâu không trả.##Một âm là giá. Nghỉ tắm gội. Vì thế nên xin phép nghỉ gọi là thỉnh giá [請假],thưởng cho nghỉ gọi là thưởng giá [賞假],v.v.,GIẢ, GIÁ",N1,,11,2619,カ ケ | かり かりる
32156,偕,"Đều. Nguyễn Trãi [阮廌] : Kính trung bạch phát giai nhân lão [鏡中白髮偕人老] (Thu nhật ngẫu hứng [秋日偶成]) Tóc bạc trong gương cùng với người già đi.,GIAI",N1,,11,2466,カイ | ともに
32157,偐,"Giả mạo,NGẠN",N1,,11,2620,ガン ゲン
32158,偈,"Lời kệ. Các bài thơ của Phật [佛] gọi là kệ. Pháp Hoa Kinh [法華經] : Nhĩ thời Thế Tôn dục trùng tuyên thử nghĩa,nhi thuyết kệ ngôn [爾時世尊欲重宣此義,而說偈言] Khi đó,đức Thế Tôn muốn giảng rõ lại nghĩa này mà nói kệ rằng ...,KỆ",N1,,11,2621,ゲ ケイ ケツ | いこう
32159,做,"Làm. Như tố nhân [做人] làm người,tố quan [做官] làm quan.,TỐ",N1,,11,2622,サ サク ソ | つくる なす
32160,偖,"well,now,",N1,,11,2623,シャ | さて
32161,偬,"đau đớn; đau khổ,THỐNG",N1,,11,2624,ソウ | くるしむ
32162,偸,"Nguyên là chữ du [俞].,DU",N1,,11,2625,チュウ ツ トウ | ぬすむ
32163,傀,"To lớn,vạm vỡ.##Quái lạ.##Một âm là quỷ. Như quỷ lỗi [傀儡] tượng gỗ.,KHÔI",N1,,12,2626,カイ | おおきい
32164,傚,"Bắt chước. Thường dùng chữ hiệu [效].,HIỆU",N1,,12,2627,コウ | ならう
32165,傅,"Giúp rập. Như sư phó [師傅] quan thầy dạy vua chúa khi còn nhỏ tuổi.##Một âm là phụ,liền dính. Như bì chi bất tồn,mao tương yên phụ [皮之不存毛將安傅] da đã chẳng còn,lông bám vào đâu.,PHÓ, PHỤ",N1,,12,2628,フ | かしずく つく もり
32166,傴,"Ủ lũ [傴僂] còng lưng (gù). Âu Dương Tu [歐陽修] : Ủ lũ đề huề,vãng lai nhi bất tuyệt giả [傴僂提攜，往來而不絕者] (Túy Ông đình ký [醉翁亭記]) Lom khom đề huề,qua lại không ngớt vậy.,Ủ",N1,,13,2629,ウ ク | かがむ せむし
32167,傲,"Kiêu căng,khinh rẻ. Như ngạo mạn [傲慢] kiêu căng,coi thường người khác. Khinh thế ngạo vật [輕世傲物] nghĩa là khinh đời,coi rẻ mọi người,mọi vật.##Láo xấc. Như cứ ngạo [倨傲] hỗn láo,xấc xược.,NGẠO",N1,,13,2630,ゴウ | あなどる おごる
32168,僉,"Đều,cùng,mọi người đều nói thế.,THIÊM",N1,,13,2631,セン | みな
32169,僊,"Nguyên là chữ tiên [仙]. Nguyễn Trãi [阮廌] : Tiên cảnh trụy nhân gian  [僊境墜人間] (Dục Thúy sơn [浴翠山]) Cảnh tiên rớt xuống cõi người ta.,TIÊN",N1,,13,2632,セン
32170,傳,"Truyền. Đem của người này mà trao cho kẻ kia là truyền. Như truyền vị [傳位] truyền ngôi,truyền đạo [傳道] truyền đạo,v.v.##Sai người bảo. Như truyền kiến [傳見] truyền cho vào yết kiến.##Một âm là truyện. Dạy bảo. Như Xuân Thu Tả thị truyện [春秋左氏傳] họ Tả giải nghĩa kinh Xuân Thu để dạy bảo người.##Truyện ký. Như Liệt nữ truyện [列女傳] truyện các gái hiền.##Một âm nữa là truyến. Nhà trạm.##Nhà để đưa kẻ đi đón kẻ lại cũng gọi là truyến.,TRUYỆN, TRUYỀN, TRUYẾN",N1,,13,2633,テン デン | つたう つたえる つたわる つて
32171,僂,"Ủ lũ [傴僂] còng lưng (gù).,LŨ",N1,,13,2634,ル ロウ | かがむ
32172,僖,"Vui mừng.,HI",N1,,14,2635,キ | よろこぶ
32173,僞,"Dối trá. Như hư ngụy [虛僞] giả dối.##Trộm giữ lấy. Như kẻ loạn thần lên cướp ngôi của chúa gọi là ngụy triều [僞朝].,NGỤY",N1,,14,2636,カ ギ | いつわり いつわる にせ
32174,僥,"Tiêu nghiêu [僬僥] người lùn.##Một âm là kiểu,kiểu hãnh [僥倖] cầu may,tả cái dáng cầu lợi không chán.,NGHIÊU, KIỂU",N1,,14,2637,キョウ ギョウ
32175,僭,"Định lấn,kẻ dưới giả thác lấn ngôi người trên gọi là tiếm. Như tiếm thiết  [僭窃],tiếm việt [僭越],v.v.,TIẾM",N1,,14,2638,シン セン | おごる せんする
32176,僣,"Thiết thoát giảo hoạt,tục mượn làm chữ tiếm [僭].,THIẾT",N1,,14,2639,シン セン | おごる せんする
32177,僮,"Thằng nhỏ.,ĐỒNG",N1,,14,2640,トウ ドウ | しもべ わらべ
32178,價,"Giá cả,giá cái gì đáng bao nhiêu gọi là giá. Như vật giá [物價].##Dị dạng của chữ [价].,GIÁ, GIỚI",N1,,15,2641,カ ケ | あたい
32179,僵,"Ngã.##Cứng. Như đống cương [凍僵] giá rét cứng đờ ra,có khi viết là cương [殭].,CƯƠNG",N1,,15,2642,キョウ | たおれる
32180,儉,"Tằn tiện,có tiết chế mà không phung phá láo gọi là kiệm. Lý Thương Ẩn [李商隱] : Thành do cần kiệm phá do xa [成由勤儉破由奢] (Vịnh sử [詠史]) Nên việc là do cần kiệm,đổ vỡ vì hoang phí.##Thiếu. Như bần kiệm [貧儉] nghèo thiếu,kiệm bạc [儉薄] ít ỏi nhỏ mọn.##Năm mất mùa cũng gọi là kiệm tuế [儉歲].,KIỆM",N1,,15,2643,ケン | つづまやか つましい
32181,儁,"Cũng như chữ tuấn [俊].,TUẤN",N1,,14,2644,シュン | すぐれる
32182,儂,"Tục tự xưng nông là ta đây,đất Ngô gọi người là nông,nên gọi người đất Ngô là nông nhân [儂人] . Tục thường đọc là nùng.,NÔNG",N1,,15,2645,ドウ ノウ | かれ わし
32183,儖,"Xấu xí,LAM",N1,,17,2646,ラン
32184,儕,"Hàng,bọn. Như ngô sài [吾儕] hàng ta,lũ ta,chúng ta,v.v.,SÀI",N1,,16,2647,サイ セイ | ともがら
32185,儔,"Lũ. Như trù lữ [儔侶] người cùng bọn.,TRÙ",N1,,16,2648,ジュ チュウ | ともがら
32186,儚,"Múa,cũng như chữ vũ [舞].,VŨ",N1,,15,2649,ボウ モウ | くらい はかない
32187,儡,"Khối lỗi [傀儡] tượng gỗ.,LỖI",N1,,17,2650,ライ
32188,儺,"Lễ cầu mát. Luận ngữ [論語] : Hương nhân na,triều phục nhi lập ư tạc giai [鄉人儺，朝服而立於阼階] (Hương đảng [鄉黨]) Khi người làng làm lễ ""na"" (lễ tống ôn dịch); ông bận triều phục đứng ở trên thềm phía đông mà dự lễ.,NA",N1,,21,2651,ダ ナ | おにやらい
32189,儷,"Đôi. Kháng lệ [伉儷] vợ chồng (đôi lứa).,LỆ",N1,,21,2652,レイ | つれあい ならぶ
32190,儼,"Nghiễm nhiên [儼然] (1) Tả cái dáng kinh sợ. Như vọng chi nghiễm nhiên [望之儼然] coi dáng nghiêm trang đáng sợ. (2) Tề chỉnh,ngăn nắp. Đào Uyên Minh 陶淵明Õ: Thổ địa bình khoáng,ốc xá nghiễm nhiên [土地平曠，屋舍儼然] (Đào hoa nguyên kí [桃花源記]) Đất bằng phẳng trống trải,nhà cửa tề chỉnh.,NGHIỄM",N1,,22,2653,ゲン | いかめしい おごそか
32191,儻,"Thảng. Thích thảng [倜儻] lỗi lạc.##Hoặc giả thế,không kì thế mà lại thế gọi là thảng. Thường viết là thảng [倘]. Như thảng lai chi vật [倜來之物] vật đến bỗng dưng.,THẢNG",N1,,22,2654,トウ | あるいは すぐれる もし
32192,儿,"Người. Chữ nhân [人] giống người đứng,chữ nhân [儿] giống người đi.##Giản thể của chữ [兒].,NHÂN, NHI, NGHÊ",N1,,2,2655,ジン ニン | がい
